"date","volumeMTUM","volumeQUAL","volumeVLUE","volumeSIZE","volumeUSMV","volumeSPY"
2016-06-28,277009,159509,37942,385,4873987,159382399
2016-06-29,423316,178162,27058,1729,5695619,137328614
2016-06-30,295202,147454,22474,1960,5566073,165021948
2016-07-01,178637,228026,11708,15442,4644865,106055333
2016-07-05,208987,80644,29511,1530,3301143,109803713
2016-07-06,324618,117912,12353,1415,7692313,96021491
2016-07-07,352744,160587,3829849,7434,4228217,85593827
2016-07-08,282169,180302,23055,1959,3687023,133970972
2016-07-11,403762,112850,11201,2001,4465262,73633937
2016-07-12,340595,517734,185072,2407,4551045,101275629
2016-07-14,178148,742305,6608,1302,6516136,91230870
2016-07-15,425929,104416,15404,3588,3377583,107155401
2016-07-18,330472,3234736,46597,741,5561808,58725918
2016-07-19,226848,118985,72360,25816,2658386,54345728
2016-07-20,219685,250174,8868,1759,2896667,58159457
2016-07-21,136505,76530,9888,2005,2929352,67777310
2016-07-22,225640,76553,9401,459,1944304,62787477
2016-07-25,220298,78755,9345,17130,1856421,55873147
2016-07-26,138712,140962,135564,10958,6123646,70080493
2016-07-27,212452,854987,49668,470295,7349244,84083893
2016-07-28,97756,57082,7119,3193,2069596,65035718
2016-07-29,209196,96024,8356,4136,3563016,79519436
2016-08-01,190627,183638,53273,6143,2840187,73311422
2016-08-02,211095,752551,17923,6789,3179508,92295506
2016-08-03,155171,119926,15253,1442,9472206,53993626
2016-08-04,138497,202857,4877,1245,3884255,46585528
2016-08-05,337782,155782,9649,2362,2803656,71892161
2016-08-08,120277,113970,7078,5174,2825299,39906479
2016-08-09,400661,80757,7665,2794,2503961,51251728
2016-08-10,101551,299325,5935,3256,6032383,57941092
2016-08-11,164057,143591,64222,1611,2457997,72504270
2016-08-12,244636,64214,14064,1429,4238149,61313544
2016-08-15,131195,135248,20380,6339,2265704,49813482
2016-08-16,166564,63456,9903,4719,5188205,53213621
2016-08-17,187270,79470,4637,2955,6518823,75134339
